frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
49,17.371,7,car,0.8,525,209,581,240,553,224,553,240,44.655337,10.934782,2640,1643
49,17.371,10,bicycle,0.8,32,350,114,464,73,407,73,464,44.655554,10.93447,1792,1054
49,17.371,11,car,0.807,469,220,530,250,499,235,499,250,44.655368,10.934757,2573,1559
50,17.653,1,car,0.8,-53,442,241,647,94,544,93,647,44.655581,10.934367,1513,981
50,17.653,2,car,0.8,567,280,671,360,619,320,619,360,44.655475,10.934474,1804,1270
50,17.653,3,car,0.8,531,243,624,303,577,273,577,303,44.655432,10.934576,2081,1386
50,17.653,5,car,0.8,491,221,564,274,527,247,528,274,44.655403,10.934663,2318,1465
50,17.653,7,car,0.8,523,209,578,240,550,224,550,240,44.655338,10.934783,2643,1641
50,17.653,10,bicycle,0.8,35,346,119,461,77,403,77,461,44.655553,10.934472,1798,1056
50,17.653,11,car,0.8,463,221,520,250,491,235,492,250,44.655369,10.93476,2579,1556
51,17.948,1,car,0.8,-66,446,231,653,82,549,82,653,44.655582,10.934366,1511,978
51,17.948,2,car,0.8,562,278,672,362,617,320,617,362,44.655476,10.934472,1799,1266
51,17.948,3,car,0.8,532,243,626,304,579,273,579,304,44.655433,10.934574,2074,1384
51,17.948,5,car,0.8,499,226,562,272,530,249,531,272,44.655399,10.934669,2332,1474
51,17.948,7,car,0.8,520,210,575,240,547,225,547,240,44.655339,10.934784,2646,1639
51,17.948,10,bicycle,0.8,38,341,124,459,81,400,81,459,44.655553,10.934473,1800,1058
52,18.233,1,car,0.8,-79,450,222,659,71,554,71,659,44.655583,10.934365,1508,975
52,18.233,2,car,0.8,558,277,672,363,615,320,615,363,44.655477,10.934472,1797,1263
52,18.233,3,car,0.8,534,243,628,305,581,274,581,305,44.655433,10.934571,2067,1382
52,18.233,5,car,0.8,500,227,562,272,531,249,531,272,44.655399,10.934669,2332,1474
52,18.233,7,car,0.8,517,210,571,240,544,225,544,240,44.655339,10.934785,2649,1638
52,18.233,10,bicycle,0.8,42,337,128,456,85,396,85,456,44.655551,10.934475,1806,1061
53,18.538,1,car,0.8,-91,453,212,665,60,559,60,665,44.655584,10.934364,1505,973
53,18.538,2,car,0.8,554,278,670,364,612,321,612,364,44.655478,10.934471,1795,1261
53,18.538,3,car,0.8,535,243,631,305,583,274,583,305,44.655433,10.93457,2065,1382
53,18.538,5,car,0.8,500,225,562,272,531,248,531,272,44.655399,10.934669,2332,1474
53,18.538,7,car,0.8,515,210,568,240,541,225,541,240,44.65534,10.934786,2652,1636
53,18.538,10,bicycle,0.8,45,333,133,454,89,393,89,454,44.655551,10.934476,1809,1063
53,18.538,12,car,0.8518,0,461,190,688,95,574,95,688,44.655585,10.934353,1475,970
54,18.835,1,car,0.8,-104,457,202,671,49,564,49,671,44.655585,10.934363,1503,970
54,18.835,2,car,0.8,552,279,669,366,610,322,610,366,44.655479,10.934469,1790,1257
54,18.835,3,car,0.8,537,244,633,306,585,275,585,306,44.655434,10.934568,2058,1380
54,18.835,5,car,0.8,499,224,563,273,531,248,531,273,44.655401,10.934665,2323,1470
54,18.835,7,car,0.8,512,211,565,241,538,226,539,241,44.655342,10.934782,2641,1629
54,18.835,10,bicycle,0.8,49,329,138,451,93,390,93,451,44.65555,10.934478,1814,1065
55,19.132,1,car,0.8,-117,460,193,677,38,568,37,677,44.655586,10.934363,1501,968
55,19.132,2,car,0.8,546,275,672,368,609,321,609,368,44.655481,10.934467,1784,1253
55,19.132,3,car,0.8,538,244,635,306,586,275,587,306,44.655434,10.934567,2057,1381
55,19.132,5,car,0.8,499,223,563,273,531,248,531,273,44.655401,10.934665,2323,1470
55,19.132,7,car,0.8,509,211,562,241,535,226,536,241,44.655343,10.934784,2644,1628
55,19.132,10,bicycle,0.8,52,324,143,448,97,386,97,448,44.655549,10.93448,1820,1068
55,19.132,13,car,0.82,454,213,521,250,487,231,487,250,44.65537,10.934761,2584,1554
56,19.413,1,car,0.8,-130,464,183,683,26,573,26,683,44.655587,10.934362,1498,965
56,19.413,2,car,0.8,545,277,670,370,607,323,607,370,44.655482,10.934465,1779,1250
56,19.413,3,car,0.8,540,244,638,307,589,275,589,307,44.655434,10.934565,2050,1379
56,19.413,5,car,0.8,499,223,563,273,531,248,531,273,44.655401,10.934665,2323,1470
56,19.413,7,car,0.8,506,211,559,241,532,226,533,241,44.655343,10.934785,2647,1626
56,19.413,10,bicycle,0.8,85,356,156,452,120,404,120,452,44.655549,10.934473,1800,1069
56,19.413,13,car,0.8,445,213,514,250,479,231,479,250,44.655371,10.934764,2591,1550
57,19.702,1,car,0.8,-143,468,174,688,15,578,15,688,44.655588,10.934361,1497,963
57,19.702,2,car,0.8,542,277,670,371,606,324,606,371,44.655483,10.934464,1777,1248
57,19.702,3,car,0.8,542,244,640,308,591,276,591,308,44.655435,10.934562,2043,1377
57,19.702,5,car,0.8,499,225,562,274,530,249,531,274,44.655402,10.934662,2315,1466
57,19.702,7,car,0.8,504,212,556,241,530,226,530,241,44.655344,10.934786,2650,1625
57,19.702,10,bicycle,0.8,91,356,160,447,125,401,126,447,44.655547,10.934476,1810,1074
57,19.702,13,car,0.8,438,213,507,251,472,232,472,251,44.655374,10.934763,2587,1542
58,19.985,1,car,0.8,-156,471,164,694,4,582,4,694,44.655588,10.93436,1494,961
