frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
21,11.52,7,car,0.25,573,212,643,250,608,231,608,250,44.655349,10.934719,2469,1611
22,12.023,1,car,0.25,283,350,504,490,393,420,394,490,44.655543,10.934403,1611,1085
22,12.023,2,car,0.25,565,249,684,324,624,286,624,324,44.655447,10.934525,1941,1345
22,12.023,3,car,0.25,493,236,559,284,526,260,526,284,44.655416,10.934636,2243,1428
22,12.023,5,car,0.25,520,214,589,253,554,233,555,253,44.655364,10.934726,2487,1570
22,12.023,7,car,0.25,581,211,648,247,614,229,614,247,44.655342,10.934729,2495,1631
23,12.536,1,car,0.25,273,353,499,495,386,424,386,495,44.655544,10.934401,1606,1081
23,12.536,2,car,0.25,567,250,685,325,626,287,626,325,44.655448,10.934522,1935,1343
23,12.536,3,car,0.25,494,237,563,285,528,261,529,285,44.655417,10.934632,2233,1426
23,12.536,5,car,0.25,518,214,588,253,553,233,553,253,44.655364,10.934726,2489,1569
23,12.536,7,car,0.25,588,210,653,245,620,227,621,245,44.655336,10.934735,2511,1647
24,13.072,1,car,0.25,263,355,492,499,377,427,377,499,44.655546,10.9344,1603,1077
24,13.072,2,car,0.25,568,251,686,326,627,288,627,326,44.655448,10.93452,1929,1341
24,13.072,3,car,0.25,496,238,566,287,531,262,531,287,44.655419,10.934627,2218,1420
24,13.072,5,car,0.25,518,214,585,252,551,233,551,252,44.655363,10.934731,2502,1573
24,13.072,7,car,0.25,596,209,658,243,627,226,627,243,44.65533,10.934741,2528,1662
25,13.59,1,car,0.25,249,357,481,503,365,430,365,503,44.655547,10.9344,1602,1073
25,13.59,2,car,0.25,569,251,687,327,628,289,628,327,44.655449,10.934518,1924,1339
25,13.59,3,car,0.25,496,239,569,289,532,264,533,289,44.655421,10.934621,2202,1414
25,13.59,5,car,0.25,521,214,586,251,553,232,554,251,44.65536,10.934734,2510,1580
25,13.59,7,car,0.25,604,208,663,240,633,224,633,240,44.655322,10.934752,2558,1685
25,13.59,8,car,0.33,1273,160,1316,190,1294,175,1294,190,44.654818,10.934699,2415,3052
26,14.109,1,car,0.25,241,360,473,507,357,433,357,507,44.655549,10.934398,1598,1069
26,14.109,2,car,0.25,570,251,688,328,629,289,629,328,44.65545,10.934517,1919,1337
26,14.109,3,car,0.25,497,240,572,289,534,264,535,289,44.655421,10.93462,2201,1415
26,14.109,5,car,0.25,526,214,589,251,557,232,557,251,44.65536,10.934733,2507,1581
26,14.109,7,car,0.25,611,208,667,238,639,223,639,238,44.655315,10.934758,2576,1702
26,14.109,8,car,0.25,1274,160,1314,189,1294,174,1294,189,44.654806,10.934708,2438,3087
27,14.631,1,car,0.25,228,363,463,512,345,437,346,512,44.65555,10.934397,1595,1065
27,14.631,2,car,0.25,571,253,688,329,629,291,629,329,44.655451,10.934515,1915,1335
