frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
22,10.118,4,car,0.8345,524,215,586,253,555,234,555,253,44.655364,10.934726,2487,1570
23,10.554,1,car,0.93,272,353,501,495,386,424,386,495,44.655544,10.934401,1606,1081
23,10.554,2,car,0.8983,572,251,681,325,626,288,626,325,44.655448,10.934522,1935,1343
23,10.554,3,car,0.8949,489,237,570,286,529,261,529,286,44.655418,10.93463,2226,1423
23,10.554,4,car,0.8399,521,214,586,254,553,234,553,254,44.655366,10.934723,2479,1564
24,10.992,1,car,0.9324,261,355,495,499,378,427,378,499,44.655546,10.9344,1603,1077
24,10.992,2,car,0.8969,574,251,682,326,628,288,628,326,44.655448,10.93452,1929,1342
24,10.992,3,car,0.8927,490,239,573,287,531,263,531,287,44.655419,10.934627,2218,1420
24,10.992,4,car,0.8056,521,214,583,252,552,233,552,252,44.655363,10.934731,2501,1574
25,11.443,1,car,0.9355,251,358,480,504,365,431,365,504,44.655547,10.934399,1600,1072
25,11.443,2,car,0.9,575,251,682,327,628,289,628,327,44.655449,10.934518,1924,1339
25,11.443,3,car,0.8758,490,240,576,289,533,264,533,289,44.655421,10.934621,2202,1414
25,11.443,4,car,0.7622,526,214,582,251,554,232,554,251,44.65536,10.934734,2510,1580
26,11.887,1,car,0.9336,243,361,472,507,357,434,357,507,44.655549,10.934398,1598,1069
26,11.887,2,car,0.9016,576,252,683,329,629,290,629,329,44.655451,10.934515,1915,1335
26,11.887,3,car,0.8722,490,240,580,290,535,265,535,290,44.655422,10.934618,2194,1412
26,11.887,4,car,0.637,533,214,582,252,557,233,557,252,44.655362,10.934729,2496,1576
26,11.887,9,car,0.3513,1273,161,1316,189,1294,175,1294,189,44.654806,10.934708,2438,3087
27,12.323,1,car,0.9331,232,364,460,513,346,438,346,513,44.65555,10.934397,1593,1064
27,12.323,2,car,0.9083,577,253,683,330,630,291,630,330,44.655451,10.934513,1910,1333
27,12.323,3,car,0.8779,492,240,581,290,536,265,536,290,44.655422,10.934617,2193,1412
27,12.323,4,car,0.7134,524,214,581,251,552,232,552,251,44.655361,10.934735,2512,1579
28,12.767,1,car,0.9293,221,367,450,519,335,443,335,519,44.655552,10.934395,1589,1059
28,12.767,2,car,0.9142,578,255,684,331,631,293,631,331,44.655452,10.934511,1905,1331
28,12.767,3,car,0.878,493,240,582,292,537,266,537,292,44.655424,10.934612,2179,1406
28,12.767,4,car,0.5006,519,214,580,252,549,233,549,252,44.655363,10.934732,2504,1572
29,13.203,1,car,0.929,217,368,448,523,332,445,332,523,44.655553,10.934393,1584,1057
29,13.203,2,car,0.9159,577,256,684,332,630,294,630,332,44.655453,10.93451,1902,1328
29,13.203,3,car,0.8774,495,240,581,293,538,266,538,293,44.655426,10.93461,2172,1403
29,13.203,4,car,0.3839,516,214,579,252,547,233,547,252,44.655363,10.934733,2506,1572
30,13.648,1,car,0.9244,208,371,448,525,328,448,328,525,44.655554,10.934392,1582,1055
30,13.648,2,car,0.9223,578,257,684,333,631,295,631,333,44.655454,10.934508,1897,1326
30,13.648,3,car,0.8703,497,239,582,294,539,266,539,294,44.655427,10.934607,2165,1400
30,13.648,4,car,0.6196,513,214,576,249,544,231,544,249,44.655358,10.934746,2541,1586
31,14.11,1,car,0.9211,198,372,444,530,321,451,321,530,44.655555,10.934391,1578,1051
31,14.11,2,car,0.9235,578,258,684,334,631,296,631,334,44.655455,10.934507,1893,1324
31,14.11,3,car,0.8676,499,238,583,294,541,266,541,294,44.655426,10.934606,2163,1401
31,14.11,4,car,0.6262,509,215,576,248,542,231,542,248,44.655357,10.93475,2554,1590
32,14.559,1,car,0.9278,187,374,435,536,311,455,311,536,44.655557,10.934389,1573,1047
32,14.559,2,car,0.9258,579,259,684,336,631,297,631,336,44.655456,10.934504,1884,1320
32,14.559,3,car,0.8722,501,238,585,295,543,266,543,295,44.655427,10.934603,2155,1399
32,14.559,4,car,0.6423,507,215,576,246,541,230,541,246,44.655353,10.934759,2578,1601
32,14.559,12,car,0.7949,585,206,626,239,605,222,605,239,44.655325,10.934767,2599,1676
32,14.559,9,bicycle,0.4412,1274,160,1305,189,1289,174,1289,189,44.654808,10.934711,2448,3079
33,15.006,1,car,0.9162,176,378,431,543,303,460,303,543,44.655558,10.934387,1566,1043
33,15.006,2,car,0.9239,581,260,685,336,633,298,633,336,44.655456,10.934503,1883,1320
33,15.006,3,car,0.8751,502,238,589,295,545,266,545,295,44.655427,10.934603,2154,1399
33,15.006,4,car,0.357,505,218,579,247,542,232,542,247,44.655354,10.934755,2566,1596
33,15.006,12,car,0.8151,579,207,623,240,601,223,601,240,44.655328,10.934764,2591,1668
34,15.449,1,car,0.9306,165,381,406,548,285,464,285,548,44.65556,10.934387,1566,1038
34,15.449,2,car,0.9218,582,261,685,337,633,299,633,337,44.655457,10.934502,1879,1318
34,15.449,3,car,0.8582,503,239,593,295,548,267,548,295,44.655427,10.934602,2151,1400
34,15.449,4,car,0.5014,504,218,573,246,538,232,538,246,44.655353,10.93476,2581,1600
34,15.449,12,car,0.8531,574,208,622,239,598,223,598,239,44.655326,10.93477,2606,1673
34,15.449,9,bicycle,0.5402,1274,161,1303,190,1288,175,1288,190,44.654822,10.934704,2428,3043
35,15.902,1,car,0.9288,151,387,389,553,270,470,270,553,44.655561,10.934386,1565,1034
35,15.902,2,car,0.9213,583,261,684,338,633,299,633,338,44.655458,10.9345,1875,1316
35,15.902,3,car,0.8404,505,241,592,296,548,268,548,296,44.655428,10.9346,2145,1397
35,15.902,4,car,0.3148,504,220,574,247,539,233,539,247,44.655355,10.934756,2569,1594
35,15.902,12,car,0.7963,571,208,621,238,596,223,596,238,44.655324,10.934775,2621,1678
35,15.902,13,bicycle,0.6883,0,387,32,490,16,438,16,490,44.655563,10.934458,1760,1031
36,16.344,1,car,0.9199,137,390,377,559,257,474,257,559,44.655563,10.934385,1561,1029
36,16.344,2,car,0.9216,585,262,684,339,634,300,634,339,44.655458,10.934499,1871,1314
36,16.344,3,car,0.8372,507,243,593,297,550,270,550,297,44.655428,10.934597,2137,1395
36,16.344,4,car,0.5628,505,222,567,252,536,237,536,252,44.655366,10.934736,2516,1566
36,16.344,12,car,0.8313,563,207,620,239,591,223,591,239,44.655328,10.934772,2614,1669
36,16.344,13,bicycle,0.7519,0,384,38,487,19,435,19,487,44.655562,10.93446,1765,1033
36,16.344,9,bicycle,0.4737,1275,163,1299,190,1287,176,1287,190,44.654822,10.934705,2430,3041
37,16.8,1,car,0.922,125,392,364,565,244,478,244,565,44.655565,10.934384,1558,1025
37,16.8,2,car,0.925,586,262,684,340,635,301,635,340,44.655459,10.934497,1866,1312
37,16.8,3,car,0.8398,509,243,593,297,551,270,551,297,44.655428,10.934596,2136,1395
37,16.8,4,car,0.8132,504,221,562,252,533,236,533,252,44.655366,10.934737,2519,1565
37,16.8,12,car,0.8453,560,207,619,239,589,223,589,239,44.655328,10.934773,2616,1668
37,16.8,13,bicycle,0.8169,0,382,45,483,22,432,22,483,44.655561,10.934462,1772,1036
38,17.242,1,car,0.9124,111,396,356,572,233,484,233,572,44.655566,10.934382,1553,1021
38,17.242,2,car,0.921,587,262,684,342,635,302,635,342,44.655461,10.934494,1858,1308
38,17.242,3,car,0.8379,510,243,594,297,552,270,552,297,44.655428,10.934596,2136,1396
38,17.242,4,car,0.8123,503,221,560,256,531,238,531,256,44.655374,10.934723,2479,1544
38,17.242,12,car,0.8532,558,205,618,239,588,222,588,239,44.655328,10.934774,2617,1667
38,17.242,13,bicycle,0.7948,0,376,51,484,25,430,25,484,44.655561,10.934461,1769,1035
39,17.689,1,car,0.9216,100,400,348,579,224,489,224,579,44.655568,10.93438,1547,1017
39,17.689,2,car,0.9143,587,263,683,345,635,304,635,345,44.655463,10.93449,1847,1302
39,17.689,3,car,0.8288,512,243,597,298,554,270,554,298,44.655429,10.934594,2128,1393
39,17.689,4,car,0.8492,503,222,558,260,530,241,530,260,44.655381,10.934708,2440,1525
39,17.689,12,car,0.8722,554,204,617,239,585,221,585,239,44.655329,10.934775,2620,1666
39,17.689,13,bicycle,0.8225,0,368,57,486,28,427,28,486,44.655561,10.934459,1764,1035
40,18.138,1,car,0.9354,87,405,339,586,213,495,213,586,44.655569,10.934378,1543,1013
40,18.138,2,car,0.9064,587,264,682,346,634,305,634,346,44.655463,10.934489,1844,1300
40,18.138,3,car,0.8007,513,244,602,297,557,270,557,297,44.655428,10.934595,2132,1397
40,18.138,4,car,0.8452,504,222,554,263,529,242,529,263,44.655386,10.934698,2412,1511
40,18.138,12,car,0.8641,551,204,614,239,582,221,582,239,44.655329,10.934776,2623,1664
40,18.138,13,bicycle,0.8282,0,366,63,486,31,426,31,486,44.655561,10.934459,1762,1035
41,18.58,1,car,0.8923,76,406,334,593,205,499,205,593,44.65557,10.934376,1537,1010
41,18.58,2,car,0.9026,587,264,682,347,634,305,634,347,44.655464,10.934487,1840,1298
41,18.58,3,car,0.8007,515,244,602,297,558,270,558,297,44.655427,10.934595,2131,1398
41,18.58,4,car,0.8755,504,222,553,267,528,244,528,267,44.655392,10.934685,2377,1493
41,18.58,12,car,0.8627,549,205,612,240,580,222,580,240,44.655332,10.934772,2612,1657
41,18.58,13,bicycle,0.7712,0,370,69,487,34,428,34,487,44.655561,10.934458,1759,1035
41,18.58,17,person,0.3176,624,186,639,212,631,199,631,212,44.655235,10.934914,2998,1920
42,19.024,1,car,0.8546,65,410,319,599,192,504,192,599,44.655572,10.934375,1534,1006
42,19.024,2,car,0.8771,586,264,680,349,633,306,633,349,44.655466,10.934485,1834,1293
42,19.024,3,car,0.8233,520,243,603,298,561,270,561,298,44.655428,10.934592,2123,1396
42,19.024,4,car,0.8784,504,222,554,269,529,245,529,269,44.655395,10.934679,2359,1485
42,19.024,12,car,0.8455,544,207,608,241,576,224,576,241,44.655335,10.934769,2604,1648
42,19.024,13,bicycle,0.7659,1,374,74,485,37,429,37,485,44.65556,10.934459,1762,1037
43,19.466,1,car,0.9053,52,413,310,605,181,509,181,605,44.655573,10.934374,1531,1003
43,19.466,2,car,0.877,584,266,680,349,632,307,632,349,44.655466,10.934485,1834,1293
43,19.466,3,car,0.8648,519,243,605,299,562,271,562,299,44.655429,10.934589,2116,1393
43,19.466,4,car,0.8864,503,223,553,270,528,246,528,270,44.655397,10.934676,2351,1481
43,19.466,12,car,0.8413,542,208,603,241,572,224,572,241,44.655336,10.93477,2608,1646
43,19.466,13,bicycle,0.8177,4,376,81,483,42,429,42,483,44.65556,10.934459,1764,1038
44,19.912,1,car,0.8745,34,420,299,611,166,515,166,611,44.655574,10.934373,1529,999
44,19.912,2,car,0.8597,581,270,679,350,630,310,630,350,44.655467,10.934485,1832,1291
44,19.912,3,car,0.8657,522,243,606,300,564,271,564,300,44.65543,10.934586,2108,1391
44,19.912,4,car,0.8796,502,222,556,269,529,245,529,269,44.655395,10.934679,2359,1485
44,19.912,12,car,0.8068,539,208,598,240,568,224,568,240,44.655335,10.934776,2624,1650
44,19.912,13,bicycle,0.8485,11,377,86,480,48,428,48,480,44.655559,10.934461,1768,1041
45,20.354,1,car,0.8784,15,425,284,619,149,522,149,619,44.655576,10.934372,1526,995
45,20.354,2,car,0.8822,580,268,677,350,628,309,628,350,44.655467,10.934485,1833,1290
45,20.354,3,car,0.8301,524,243,611,301,567,272,567,301,44.655431,10.934583,2100,1389
45,20.354,4,car,0.8462,500,221,562,269,531,245,531,269,44.655395,10.934678,2357,1486
45,20.354,12,car,0.7666,533,209,591,242,562,225,562,242,44.65534,10.93477,2606,1635
45,20.354,13,bicycle,0.8385,18,368,94,475,56,421,56,475,44.655557,10.934464,1775,1045
46,20.794,2,car,0.8472,576,272,676,351,626,311,626,351,44.655468,10.934484,1831,1288
46,20.794,3,car,0.8086,526,243,614,301,570,272,570,301,44.65543,10.934582,2098,1390
46,20.794,4,car,0.7153,497,221,568,269,532,245,532,269,44.655395,10.934677,2356,1487
46,20.794,12,car,0.7076,523,210,585,243,554,226,554,243,44.655344,10.934768,2601,1625
46,20.794,13,bicycle,0.7693,24,371,100,470,62,420,62,470,44.655556,10.934467,1784,1049
46,20.794,19,car,0.5461,504,209,585,247,544,228,544,247,44.655354,10.934754,2564,1597
47,21.242,2,car,0.8441,573,279,675,353,624,316,624,353,44.65547,10.934482,1825,1283
47,21.242,3,car,0.8007,528,243,616,302,572,272,572,302,44.655431,10.93458,2091,1388
47,21.242,4,car,0.7666,496,221,565,269,530,245,530,269,44.655395,10.934678,2358,1486
47,21.242,12,car,0.582,526,210,580,240,553,225,553,240,44.655337,10.934782,2640,1643
47,21.242,13,bicycle,0.7737,30,362,103,467,66,414,66,467,44.655555,10.934469,1789,1051
47,21.242,1,car,0.4292,0,436,264,641,132,538,132,641,44.655579,10.934365,1508,986
48,21.694,2,car,0.8942,570,277,674,355,622,316,622,355,44.655471,10.93448,1819,1279
48,21.694,3,car,0.7789,530,243,618,302,574,272,574,302,44.655431,10.934579,2089,1388
48,21.694,4,car,0.7891,497,223,563,269,530,246,530,269,44.655395,10.934678,2358,1486
48,21.694,13,bicycle,0.7464,36,355,106,465,71,410,71,465,44.655554,10.934469,1791,1053
48,21.694,21,car,0.7585,477,219,522,249,499,234,499,249,44.655366,10.934761,2584,1565
49,22.142,2,car,0.878,566,279,675,358,620,318,620,358,44.655473,10.934476,1810,1273
49,22.142,3,car,0.7832,532,244,621,303,576,273,576,303,44.655432,10.934577,2082,1386
49,22.142,4,car,0.789,500,227,562,270,531,248,531,270,44.655396,10.934675,2348,1482
49,22.142,13,bicycle,0.5449,42,353,116,464,79,408,79,464,44.655554,10.934469,1790,1055
49,22.142,21,car,0.807,472,220,528,250,500,235,500,250,44.655368,10.934757,2572,1560
50,22.584,2,car,0.8916,564,281,675,360,619,320,619,360,44.655475,10.934474,1804,1270
50,22.584,3,car,0.7612,534,245,624,304,579,274,579,304,44.655433,10.934574,2074,1384
50,22.584,4,car,0.7908,502,229,561,271,531,250,531,271,44.655398,10.934672,2340,1478
50,22.584,13,bicycle,0.6663,49,360,121,463,85,411,85,463,44.655553,10.934469,1790,1056
50,22.584,21,car,0.8242,468,222,520,250,494,236,494,250,44.655369,10.934759,2577,1557
50,22.584,1,car,0.5285,0,452,231,662,115,557,115,662,44.655582,10.93436,1493,979
51,23.035,2,car,0.9203,560,279,674,362,617,320,617,362,44.655476,10.934472,1799,1266
51,23.035,3,car,0.7985,536,246,626,304,581,275,581,304,44.655432,10.934573,2073,1385
51,23.035,4,car,0.8042,503,228,560,272,531,250,531,272,44.655399,10.934669,2332,1474
51,23.035,13,bicycle,0.608,55,357,128,458,91,407,91,458,44.655551,10.934472,1799,1061
51,23.035,21,car,0.7882,463,221,518,250,490,235,490,250,44.65537,10.93476,2581,1555
52,23.467,2,car,0.9263,557,278,674,363,615,320,615,363,44.655477,10.934472,1797,1263
52,23.467,3,car,0.7503,537,246,625,304,581,275,581,304,44.655432,10.934573,2073,1385
52,23.467,4,car,0.8173,503,227,560,272,531,249,531,272,44.655399,10.934669,2332,1474
52,23.467,21,car,0.7901,455,218,519,250,487,234,487,250,44.65537,10.934761,2584,1554
52,23.467,1,car,0.7554,0,461,204,674,102,567,102,674,44.655583,10.934357,1486,974
53,23.918,2,car,0.9181,552,278,673,365,612,321,612,365,44.655479,10.93447,1792,1259
53,23.918,3,car,0.7652,538,246,626,304,582,275,582,304,44.655432,10.934573,2072,1385
53,23.918,4,car,0.8224,503,226,560,272,531,249,531,272,44.655399,10.934669,2332,1474
53,23.918,21,car,0.778,451,214,521,250,486,232,486,250,44.65537,10.934762,2585,1553
53,23.918,1,car,0.8518,0,463,191,685,95,574,95,685,44.655585,10.934354,1478,971
54,24.365,2,car,0.9192,548,279,674,367,611,323,611,367,44.65548,10.934468,1786,1256
54,24.365,3,car,0.7673,540,246,629,304,584,275,584,304,44.655432,10.934572,2070,1386
54,24.365,4,car,0.8242,503,225,561,273,532,249,532,273,44.655401,10.934665,2323,1471
54,24.365,21,car,0.7771,452,214,522,251,487,232,487,251,44.655372,10.934757,2573,1549
54,24.365,1,car,0.7249,0,460,177,696,88,578,88,696,44.655586,10.934351,1470,968
54,24.365,13,bicycle,0.6968,73,354,139,457,106,405,106,457,44.65555,10.934471,1795,1064
55,24.811,2,car,0.9041,545,275,674,369,609,322,609,369,44.655481,10.934466,1781,1252
55,24.811,3,car,0.6178,543,245,633,304,588,274,588,304,44.655431,10.934571,2067,1387
55,24.811,4,car,0.837,503,224,561,273,532,248,532,273,44.655401,10.934665,2323,1471
55,24.811,21,car,0.82,452,213,521,250,486,231,486,250,44.65537,10.934762,2585,1553
55,24.811,1,car,0.6962,0,468,163,700,81,584,81,700,44.655586,10.934351,1469,966
55,24.811,13,bicycle,0.7812,79,358,149,453,114,405,114,453,44.655549,10.934473,1800,1067
56,25.282,2,car,0.9224,542,278,673,370,607,324,607,370,44.655482,10.934465,1779,1250
56,25.282,3,car,0.7161,545,247,633,304,589,275,589,304,44.655431,10.934571,2067,1387
56,25.282,4,car,0.8312,503,224,559,274,531,249,531,274,44.655402,10.934662,2315,1466
56,25.282,21,car,0.8141,443,213,519,251,481,232,481,251,44.655373,10.934759,2578,1546
56,25.282,1,car,0.7227,0,446,150,707,75,576,75,707,44.655587,10.934349,1465,964
56,25.282,13,bicycle,0.8271,84,357,157,452,120,404,120,452,44.655549,10.934473,1800,1069
57,25.738,2,car,0.9232,539,277,673,372,606,324,606,372,44.655483,10.934463,1773,1246
57,25.738,3,car,0.4084,546,247,633,309,589,278,589,309,44.655437,10.934561,2039,1373
57,25.738,4,car,0.8148,504,225,557,275,530,250,530,275,44.655404,10.93466,2308,1462
57,25.738,21,car,0.8499,432,213,516,252,474,232,474,252,44.655376,10.934758,2574,1538
57,25.738,1,car,0.7794,0,440,136,713,68,576,68,713,44.655588,10.934348,1462,962
57,25.738,13,bicycle,0.8187,88,357,164,448,126,402,126,448,44.655547,10.934475,1807,1073
58,26.185,2,car,0.9305,534,278,672,374,603,326,603,374,44.655485,10.934461,1769,1242
58,26.185,4,car,0.6703,505,228,556,275,530,251,530,275,44.655404,10.93466,2308,1462
58,26.185,21,car,0.8541,428,214,513,253,470,233,470,253,44.655378,10.934755,2566,1531
58,26.185,1,car,0.6728,0,460,125,717,62,588,62,717,44.655588,10.934348,1460,961
58,26.185,13,bicycle,0.7419,93,351,171,443,132,397,132,443,44.655546,10.934479,1817,1077
59,26.627,2,car,0.9306,527,281,672,377,599,329,599,377,44.655487,10.934459,1762,1237
59,26.627,4,car,0.7348,505,228,554,275,529,251,529,275,44.655404,10.93466,2309,1462
59,26.627,21,car,0.8558,419,216,508,254,463,235,463,254,44.655381,10.934753,2562,1523
59,26.627,1,car,0.6036,0,477,110,715,55,596,55,715,44.655588,10.934349,1464,961
59,26.627,13,bicycle,0.783,98,353,174,441,136,397,136,441,44.655545,10.93448,1820,1079
59,26.627,3,car,0.5246,553,249,654,292,603,270,603,292,44.655416,10.934594,2128,1429
60,27.074,2,car,0.9352,524,282,672,380,598,331,598,380,44.655489,10.934456,1754,1232
60,27.074,4,car,0.8535,504,229,554,275,529,252,529,275,44.655404,10.93466,2309,1462
60,27.074,21,car,0.8397,410,217,500,255,455,236,455,255,44.655384,10.934752,2558,1515
60,27.074,1,car,0.6158,0,487,98,726,49,606,49,726,44.655589,10.934346,1456,958
