frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
37,18.727,6,bicycle,0.8169,6,383,39,483,22,433,22,483,44.655561,10.934462,1772,1036
37,18.727,4,car,0.8132,505,220,560,251,532,235,532,251,44.655364,10.934742,2531,1570
38,19.247,1,car,0.9124,102,396,365,572,233,484,233,572,44.655566,10.934382,1553,1021
38,19.247,2,car,0.921,580,262,690,342,635,302,635,342,44.655461,10.934494,1858,1308
38,19.247,3,car,0.8379,510,243,594,297,552,270,552,297,44.655428,10.934596,2136,1396
38,19.247,5,car,0.8532,566,205,612,239,589,222,589,239,44.655328,10.934773,2616,1668
38,19.247,6,bicycle,0.7948,7,376,44,485,25,430,25,485,44.655561,10.934461,1767,1035
38,19.247,4,car,0.8123,500,221,563,256,531,238,531,256,44.655374,10.934723,2479,1544
39,19.767,1,car,0.9216,92,400,357,579,224,489,224,579,44.655568,10.93438,1547,1017
39,19.767,2,car,0.9143,579,263,691,345,635,304,635,345,44.655463,10.93449,1847,1302
39,19.767,3,car,0.8288,512,243,597,298,554,270,554,298,44.655429,10.934594,2128,1393
39,19.767,5,car,0.8722,561,204,610,239,585,221,585,239,44.655329,10.934775,2620,1666
39,19.767,6,bicycle,0.8225,8,368,49,486,28,427,28,486,44.655561,10.934459,1764,1035
39,19.767,4,car,0.8492,497,222,564,260,530,241,530,260,44.655381,10.934708,2440,1525
40,20.269,1,car,0.9354,79,405,347,586,213,495,213,586,44.655569,10.934378,1543,1013
40,20.269,2,car,0.9064,580,264,690,346,635,305,635,346,44.655463,10.934489,1843,1300
40,20.269,3,car,0.8007,516,244,599,297,557,270,557,297,44.655428,10.934595,2132,1397
40,20.269,5,car,0.8641,558,204,607,239,582,221,582,239,44.655329,10.934776,2623,1664
40,20.269,6,bicycle,0.8282,10,366,53,486,31,426,31,486,44.655561,10.934459,1762,1035
40,20.269,4,car,0.8452,495,222,563,263,529,242,529,263,44.655386,10.934698,2412,1511
41,20.776,1,car,0.8923,68,406,342,593,205,499,205,593,44.65557,10.934376,1537,1010
41,20.776,2,car,0.9026,579,264,689,347,634,305,634,347,44.655464,10.934487,1840,1298
41,20.776,3,car,0.8007,516,244,600,297,558,270,558,297,44.655427,10.934595,2131,1398
41,20.776,5,car,0.8627,556,205,606,240,581,222,581,240,44.655332,10.934771,2611,1657
41,20.776,6,bicycle,0.7712,13,370,56,488,34,429,34,488,44.655561,10.934457,1757,1035
41,20.776,4,car,0.8755,492,222,565,267,528,244,528,267,44.655392,10.934685,2377,1493
42,21.267,1,car,0.8546,55,410,329,599,192,504,192,599,44.655572,10.934375,1534,1006
42,21.267,2,car,0.8771,578,264,688,349,633,306,633,349,44.655466,10.934485,1834,1293
42,21.267,3,car,0.8233,519,243,605,298,562,270,562,298,44.655428,10.934591,2122,1396
42,21.267,5,car,0.8455,552,207,601,241,576,224,576,241,44.655335,10.934769,2604,1648
42,21.267,6,bicycle,0.7659,16,374,59,485,37,429,37,485,44.65556,10.934459,1762,1037
42,21.267,4,car,0.8784,492,222,565,269,528,245,528,269,44.655395,10.934679,2360,1485
43,21.751,1,car,0.9053,42,413,320,605,181,509,181,605,44.655573,10.934374,1531,1003
43,21.751,2,car,0.877,578,266,686,349,632,307,632,349,44.655466,10.934485,1834,1293
43,21.751,3,car,0.8648,518,243,606,299,562,271,562,299,44.655429,10.934589,2116,1393
43,21.751,5,car,0.8413,548,208,597,241,572,224,572,241,44.655336,10.93477,2608,1646
43,21.751,6,bicycle,0.8177,21,376,64,483,42,429,42,483,44.65556,10.934459,1764,1038
43,21.751,4,car,0.8864,492,222,563,270,527,246,527,270,44.655397,10.934676,2352,1481
44,22.249,1,car,0.8745,28,420,305,611,166,515,166,611,44.655574,10.934373,1529,999
44,22.249,2,car,0.8597,579,270,682,350,630,310,630,350,44.655467,10.934485,1832,1291
44,22.249,3,car,0.8657,520,243,608,300,564,271,564,300,44.65543,10.934586,2108,1391
44,22.249,5,car,0.8068,544,208,593,240,568,224,568,240,44.655335,10.934776,2624,1650
44,22.249,6,bicycle,0.8485,27,377,71,480,49,428,49,480,44.655559,10.934461,1768,1041
44,22.249,4,car,0.8796,494,222,563,269,528,245,528,269,44.655395,10.934679,2360,1485
45,22.753,1,car,0.8784,10,425,289,619,149,522,149,619,44.655576,10.934372,1526,995
45,22.753,2,car,0.8822,576,268,681,350,628,309,628,350,44.655467,10.934485,1833,1290
45,22.753,3,car,0.8301,523,243,612,301,567,272,567,301,44.655431,10.934583,2100,1389
45,22.753,5,car,0.7666,536,209,587,242,561,225,561,242,44.65534,10.93477,2607,1634
45,22.753,6,bicycle,0.8385,33,368,81,475,57,421,57,475,44.655557,10.934464,1775,1045
45,22.753,4,car,0.8462,496,221,566,269,531,245,531,269,44.655395,10.934678,2357,1486
